unit,month,burglary_cnt
E01000001,2022-04-01,2
E01000001,2022-05-01,3
E01000001,2022-07-01,1
E01000001,2022-12-01,1
E01000001,2023-01-01,2
E01000001,2023-04-01,1
E01000001,2023-05-01,2
E01000001,2023-06-01,2
E01000001,2023-07-01,1
E01000001,2023-11-01,1
E01000001,2024-01-01,1
E01000001,2024-03-01,1
E01000001,2024-07-01,2
E01000001,2024-10-01,1
E01000001,2024-11-01,2
E01000001,2024-12-01,1
E01000002,2022-05-01,1
E01000002,2022-06-01,1
E01000002,2022-08-01,1
E01000002,2022-09-01,1
E01000002,2022-11-01,2
E01000002,2023-02-01,1
E01000002,2023-07-01,3
E01000002,2023-08-01,2
E01000002,2023-09-01,2
E01000002,2023-10-01,5
E01000002,2023-12-01,1
E01000002,2024-01-01,2
E01000002,2024-04-01,1
E01000002,2024-05-01,2
E01000002,2024-06-01,4
E01000002,2024-08-01,1
E01000002,2024-10-01,2
E01000002,2024-12-01,1
E01000002,2025-02-01,1
E01000003,2022-04-01,1
E01000003,2022-05-01,2
E01000003,2022-09-01,1
E01000003,2022-12-01,1
E01000003,2023-04-01,2
E01000003,2023-06-01,3
E01000003,2023-07-01,1
E01000003,2023-08-01,1
E01000003,2023-09-01,5
E01000003,2023-11-01,1
E01000003,2023-12-01,1
E01000003,2024-01-01,1
E01000003,2024-02-01,1
E01000003,2024-03-01,2
E01000003,2024-04-01,1
E01000003,2024-05-01,6
E01000003,2024-11-01,1
E01000003,2025-01-01,1
E01000005,2022-03-01,1
E01000005,2022-04-01,5
E01000005,2022-05-01,9
E01000005,2022-06-01,3
E01000005,2022-07-01,3
E01000005,2022-08-01,1
E01000005,2022-09-01,3
E01000005,2022-10-01,3
E01000005,2022-11-01,1
E01000005,2022-12-01,4
E01000005,2023-01-01,3
E01000005,2023-02-01,2
E01000005,2023-03-01,1
E01000005,2023-04-01,6
E01000005,2023-06-01,4
E01000005,2023-07-01,6
E01000005,2023-08-01,1
E01000005,2023-09-01,2
E01000005,2023-10-01,3
E01000005,2023-11-01,6
E01000005,2023-12-01,4
E01000005,2024-01-01,4
E01000005,2024-02-01,2
E01000005,2024-03-01,6
E01000005,2024-04-01,2
E01000005,2024-05-01,2
E01000005,2024-06-01,2
E01000005,2024-07-01,4
E01000005,2024-08-01,4
E01000005,2024-09-01,3
E01000005,2024-10-01,3
E01000005,2024-11-01,5
E01000005,2024-12-01,3
E01000005,2025-01-01,1
E01000005,2025-02-01,4
E01000006,2022-03-01,1
E01000006,2022-11-01,2
E01000006,2023-08-01,1
E01000006,2023-10-01,1
E01000006,2024-08-01,1
E01000006,2025-02-01,1
E01000007,2022-03-01,3
E01000007,2022-04-01,1
E01000007,2022-05-01,2
E01000007,2022-08-01,2
E01000007,2022-09-01,1
E01000007,2022-11-01,1
E01000007,2023-01-01,1
E01000007,2023-06-01,2
E01000007,2023-07-01,2
E01000007,2023-08-01,1
E01000007,2023-09-01,5
E01000007,2023-11-01,1
E01000007,2023-12-01,3
E01000007,2024-01-01,3
E01000007,2024-02-01,1
E01000007,2024-03-01,1
E01000007,2024-04-01,3
E01000007,2024-05-01,2
E01000007,2024-07-01,1
E01000007,2024-08-01,4
E01000007,2024-11-01,1
E01000007,2024-12-01,1
E01000007,2025-01-01,1
E01000007,2025-02-01,1
E01000008,2022-03-01,1
E01000008,2022-04-01,1
E01000008,2022-05-01,3
E01000008,2022-06-01,1
E01000008,2022-08-01,1
E01000008,2022-10-01,3
E01000008,2022-12-01,2
E01000008,2023-02-01,1
E01000008,2023-03-01,3
E01000008,2023-04-01,2
E01000008,2023-05-01,2
E01000008,2023-06-01,2
E01000008,2023-07-01,1
E01000008,2023-10-01,1
E01000008,2023-11-01,3
E01000008,2023-12-01,2
E01000008,2024-01-01,2
E01000008,2024-02-01,1
E01000008,2024-03-01,3
E01000008,2024-04-01,1
E01000008,2024-05-01,2
E01000008,2024-11-01,2
E01000008,2025-02-01,3
E01000009,2022-05-01,2
E01000009,2022-08-01,1
E01000009,2023-03-01,2
E01000009,2023-04-01,2
E01000009,2023-05-01,2
E01000009,2023-06-01,1
E01000009,2023-07-01,1
E01000009,2023-08-01,3
E01000009,2023-09-01,2
E01000009,2023-10-01,2
E01000009,2023-11-01,1
E01000009,2023-12-01,1
E01000009,2024-01-01,3
E01000009,2024-02-01,1
E01000009,2024-03-01,1
E01000009,2024-04-01,2
E01000009,2024-07-01,4
E01000009,2024-08-01,2
E01000009,2024-10-01,2
E01000009,2024-12-01,1
E01000009,2025-02-01,2
E01000011,2022-04-01,1
E01000011,2022-06-01,1
E01000011,2023-04-01,1
E01000011,2023-07-01,1
E01000011,2023-11-01,1
E01000011,2023-12-01,1
E01000011,2024-04-01,1
E01000011,2024-07-01,2
E01000012,2022-05-01,2
E01000012,2022-07-01,1
E01000012,2022-08-01,1
E01000012,2022-10-01,1
E01000012,2022-11-01,1
E01000012,2022-12-01,5
E01000012,2023-01-01,2
E01000012,2023-04-01,1
E01000012,2023-06-01,1
E01000012,2023-09-01,1
E01000012,2023-10-01,1
E01000012,2023-11-01,1
E01000012,2023-12-01,1
E01000012,2024-05-01,5
E01000012,2024-06-01,1
E01000012,2024-10-01,3
E01000012,2024-12-01,1
E01000013,2022-04-01,3
E01000013,2022-05-01,2
E01000013,2022-06-01,2
E01000013,2022-07-01,2
E01000013,2022-08-01,1
E01000013,2022-09-01,2
E01000013,2022-10-01,3
E01000013,2023-01-01,1
E01000013,2023-03-01,1
E01000013,2023-04-01,1
E01000013,2023-05-01,2
E01000013,2023-06-01,1
E01000013,2023-07-01,1
E01000013,2023-08-01,1
E01000013,2023-09-01,2
E01000013,2023-10-01,2
E01000013,2023-11-01,1
E01000013,2024-03-01,1
E01000013,2024-04-01,1
E01000013,2024-05-01,1
E01000013,2024-06-01,1
E01000013,2024-07-01,2
E01000013,2024-09-01,3
E01000013,2024-10-01,1
E01000013,2024-11-01,3
E01000013,2024-12-01,2
E01000013,2025-01-01,3
E01000013,2025-02-01,1
E01000014,2022-04-01,1
E01000014,2022-05-01,1
E01000014,2022-07-01,1
E01000014,2022-08-01,1
E01000014,2022-09-01,2
E01000014,2022-10-01,1
E01000014,2022-12-01,1
E01000014,2023-01-01,2
E01000014,2023-02-01,1
E01000014,2023-03-01,1
E01000014,2023-04-01,1
E01000014,2023-08-01,1
E01000014,2023-09-01,1
E01000014,2023-10-01,1
E01000014,2023-11-01,1
E01000014,2023-12-01,1
E01000014,2024-02-01,1
E01000014,2024-03-01,1
E01000014,2024-04-01,2
E01000014,2024-10-01,1
E01000014,2024-11-01,1
E01000014,2024-12-01,1
E01000014,2025-01-01,1
E01000014,2025-02-01,2
E01000015,2022-03-01,1
E01000015,2022-06-01,1
E01000015,2022-07-01,1
E01000015,2022-10-01,3
E01000015,2022-12-01,1
E01000015,2023-03-01,1
E01000015,2023-05-01,1
E01000015,2023-06-01,1
E01000015,2023-07-01,3
E01000015,2023-08-01,1
E01000015,2023-09-01,1
E01000015,2024-01-01,2
E01000015,2024-06-01,1
E01000015,2024-08-01,1
E01000015,2024-09-01,1
E01000015,2024-10-01,2
E01000015,2024-12-01,2
E01000015,2025-01-01,1
E01000016,2022-03-01,2
E01000016,2022-04-01,1
E01000016,2023-01-01,1
E01000016,2023-05-01,1
E01000016,2023-09-01,1
E01000016,2024-01-01,1
E01000016,2024-06-01,1
E01000016,2024-08-01,1
E01000016,2024-09-01,1
E01000016,2024-11-01,1
E01000016,2024-12-01,1
E01000016,2025-01-01,2
E01000017,2022-03-01,1
E01000017,2022-04-01,1
E01000017,2022-11-01,1
E01000017,2023-01-01,1
E01000017,2023-05-01,1
E01000017,2023-08-01,1
E01000017,2023-09-01,1
E01000017,2023-11-01,2
E01000017,2024-05-01,1
E01000017,2025-01-01,1
E01000018,2022-03-01,2
E01000018,2022-04-01,2
E01000018,2022-05-01,1
E01000018,2022-06-01,1
E01000018,2022-10-01,1
E01000018,2022-11-01,1
E01000018,2023-01-01,1
E01000018,2023-02-01,1
E01000018,2023-10-01,1
E01000018,2023-11-01,1
E01000018,2023-12-01,1
E01000018,2024-01-01,1
E01000018,2024-10-01,1
E01000019,2022-05-01,1
E01000019,2023-09-01,1
E01000019,2023-10-01,1
E01000019,2023-11-01,1
E01000019,2024-01-01,1
E01000020,2022-03-01,3
E01000020,2022-05-01,2
E01000020,2022-06-01,3
E01000020,2022-09-01,2
E01000020,2022-10-01,2
E01000020,2022-11-01,3
E01000020,2023-01-01,1
E01000020,2023-02-01,1
E01000020,2023-04-01,1
E01000020,2023-05-01,1
E01000020,2023-06-01,1
E01000020,2023-08-01,1
E01000020,2023-09-01,3
E01000020,2023-10-01,1
E01000020,2023-12-01,2
E01000020,2024-02-01,1
E01000020,2024-04-01,1
E01000020,2024-08-01,2
E01000020,2024-09-01,1
E01000020,2024-10-01,1
E01000020,2024-12-01,1
E01000021,2022-06-01,1
E01000021,2022-07-01,1
E01000021,2022-08-01,2
E01000021,2022-09-01,2
E01000021,2022-12-01,1
E01000021,2023-01-01,2
E01000021,2023-05-01,1
E01000021,2023-06-01,1
E01000021,2023-08-01,3
E01000021,2023-10-01,3
E01000021,2023-11-01,1
E01000021,2023-12-01,1
E01000021,2024-05-01,1
E01000021,2024-10-01,2
E01000021,2025-01-01,1
E01000022,2022-04-01,2
E01000022,2022-10-01,2
E01000022,2022-12-01,1
E01000022,2023-03-01,1
E01000022,2023-08-01,3
E01000022,2024-01-01,2
E01000022,2024-08-01,1
E01000022,2024-10-01,2
E01000022,2024-11-01,1
E01000022,2024-12-01,1
E01000022,2025-02-01,1
E01000024,2022-04-01,1
E01000024,2022-06-01,1
E01000024,2022-07-01,1
E01000024,2023-03-01,1
E01000024,2023-04-01,1
E01000024,2023-07-01,3
E01000024,2023-10-01,1
E01000024,2024-03-01,1
E01000024,2024-10-01,1
E01000024,2024-11-01,3
E01000024,2024-12-01,1
E01000025,2022-04-01,2
E01000025,2022-08-01,4
E01000025,2022-09-01,3
E01000025,2023-02-01,1
E01000025,2023-03-01,2
E01000025,2023-04-01,1
E01000025,2023-05-01,1
E01000025,2023-06-01,2
E01000025,2023-08-01,1
E01000025,2024-07-01,2
E01000025,2024-08-01,1
E01000025,2024-09-01,1
E01000025,2024-10-01,3
E01000025,2024-11-01,1
E01000025,2025-01-01,1
E01000025,2025-02-01,1
E01000027,2022-03-01,4
E01000027,2022-04-01,1
E01000027,2022-05-01,1
E01000027,2022-07-01,2
E01000027,2022-10-01,1
E01000027,2023-03-01,1
E01000027,2023-04-01,2
E01000027,2023-06-01,1
E01000027,2023-07-01,1
E01000027,2023-08-01,1
E01000027,2024-05-01,2
E01000027,2024-06-01,1
E01000027,2024-07-01,1
E01000027,2024-09-01,1
E01000027,2024-10-01,1
E01000027,2024-12-01,1
E01000027,2025-01-01,2
E01000028,2022-06-01,1
E01000028,2022-08-01,4
E01000028,2022-12-01,1
E01000028,2023-07-01,1
E01000028,2024-01-01,1
E01000028,2024-02-01,1
E01000028,2024-06-01,1
E01000028,2024-11-01,1
E01000029,2022-03-01,1
E01000029,2022-06-01,1
E01000029,2022-07-01,1
E01000029,2022-08-01,1
E01000029,2022-11-01,1
E01000029,2023-01-01,2
E01000029,2023-02-01,1
E01000029,2023-06-01,1
E01000029,2023-09-01,1
E01000029,2024-02-01,1
E01000029,2024-03-01,1
E01000029,2024-06-01,1
E01000029,2024-10-01,1
E01000029,2024-12-01,2
E01000030,2022-04-01,1
E01000030,2022-05-01,1
E01000030,2022-06-01,1
E01000030,2022-11-01,1
E01000030,2023-04-01,1
E01000030,2023-08-01,2
E01000030,2023-09-01,1
E01000030,2023-11-01,2
E01000030,2023-12-01,1
E01000030,2024-01-01,1
E01000030,2024-02-01,1
E01000030,2024-03-01,1
E01000030,2024-07-01,2
E01000030,2024-10-01,2
E01000030,2024-11-01,1
E01000030,2024-12-01,1
E01000030,2025-01-01,1
E01000031,2022-03-01,1
E01000031,2022-04-01,2
E01000031,2022-09-01,2
E01000031,2022-11-01,1
E01000031,2022-12-01,1
E01000031,2023-01-01,2
E01000031,2023-02-01,1
E01000031,2023-03-01,1
E01000031,2023-04-01,1
E01000031,2023-05-01,1
E01000031,2023-06-01,2
E01000031,2023-07-01,2
E01000031,2023-08-01,1
E01000031,2023-10-01,1
E01000031,2023-11-01,2
E01000031,2024-03-01,1
E01000031,2024-12-01,3
E01000032,2022-04-01,1
E01000032,2022-05-01,2
E01000032,2022-06-01,1
E01000032,2022-08-01,1
E01000032,2022-09-01,4
E01000032,2022-10-01,1
E01000032,2022-11-01,4
E01000032,2022-12-01,1
E01000032,2023-01-01,4
E01000032,2023-02-01,1
E01000032,2023-03-01,2
E01000032,2023-05-01,1
E01000032,2023-06-01,3
E01000032,2023-07-01,1
E01000032,2023-08-01,1
E01000032,2023-09-01,5
E01000032,2023-10-01,2
