LSOA11CD,PTAI
E01000001,32.77062948
E01000002,64.55520136
E01000003,7.358295809
E01000005,22.056163
E01000006,22.10542586
E01000007,54.37734826
E01000008,445.5586442
E01000009,362.571933
E01000010,86.620458
E01000011,88.91531426
E01000012,519.4628107
E01000013,148.9781394
E01000014,344.4367771
E01000015,655.4445604
E01000016,232.0294219
E01000017,5.895327484
E01000018,28.16244865
E01000019,2.37330263
E01000020,621.8856257
E01000021,29.91675375
E01000022,7.901402199
E01000023,144.9760995
E01000024,3.796655443
E01000025,117.0059308
E01000027,5.866380014
E01000028,1.777291335
E01000029,39.5283797
E01000030,4.947186901
E01000031,27.45475386
E01000032,217.2250325
E01000033,50.84703824
E01000034,56.61849836
E01000035,1837.003016
E01000036,13.02984951
E01000037,379.7347976
E01000038,24.84078543
E01000039,118.6352896
E01000040,1071.433674
E01000041,1303.82955
E01000042,129.698623
E01000043,49.88650585
E01000044,153.3815604
E01000045,314.9415972
E01000046,266.7203675
E01000048,99.74966377
E01000049,357.4439776
E01000050,60.29498444
E01000051,3.581310355
E01000052,124.5446864
E01000053,165.3856878
E01000054,106.6779955
E01000055,153.9213099
E01000056,157.4158271
E01000057,2127.894987
E01000058,470.3413995
E01000059,123.559275
E01000060,9.962292131
E01000061,40.2796081
E01000062,193.0187608
E01000063,194.8018773
E01000064,4.281326143
E01000065,234.5450171
E01000066,60.43247187
E01000067,7.284311305
E01000068,198.8472079
E01000069,24.97290861
E01000070,12.87614536
E01000071,56.22607262
E01000072,143.8674357
E01000073,132.8404173
E01000074,5.201849392
E01000075,19.68851487
E01000076,144.0008597
E01000077,243.6496035
E01000078,951.2203326
E01000079,53.67398517
E01000080,23.81553138
E01000081,246.2206631
E01000082,137.5622504
E01000083,96.59379386
E01000084,7.027932436
E01000085,13.61382435
E01000086,56.36671562
E01000087,351.8946601
E01000088,240.2220453
E01000089,11.47165054
E01000090,56.82472302
E01000091,111.247494
E01000092,86.90457115
E01000093,13.74783574
E01000094,37.93837529
E01000095,271.8669903
E01000096,67.44723811
E01000097,10.36902275
E01000098,74.33096573
E01000099,32.44894359
E01000100,24.94580177
E01000101,90.79117309
E01000102,32.4658439
E01000103,244.3428203
E01000104,0.509154485
E01000105,24.53967858
E01000106,121.0014176
E01000107,63.13842249
E01000108,93.77770339
E01000109,3.767587142
E01000110,6.244689994
E01000111,150.0667255
E01000112,97.2643239
E01000113,716.1621697
E01000114,28.55181703
E01000115,4.657298791
E01000116,78.4992866
E01000117,3.757172523
E01000118,15.08385596
E01000119,19.76530173
E01000120,3.011375569
E01000121,296.7536734
E01000122,565.0306969
E01000123,310.5985843
E01000124,417.965137
E01000125,481.9776126
E01000126,2.657769185
E01000127,118.1676212
E01000128,251.4511267
E01000129,9.368910668
E01000130,19.143807
E01000131,162.7946493
E01000132,6.956052376
E01000133,245.27104
E01000134,2.443304102
E01000135,274.2811807
E01000136,515.1797372
E01000137,501.2075854
E01000138,382.6800134
E01000139,10.16522832
E01000140,18.0895574
E01000141,374.0386886
E01000142,23.77653362
E01000143,183.9932831
E01000144,24.27956265
E01000145,19.85093517
E01000146,400.0358774
E01000147,64.98842407
E01000148,36.48306329
E01000150,97.63640794
E01000151,16.72246825
E01000152,370.1117627
E01000153,18.83877876
E01000154,164.3048884
E01000155,129.5416323
E01000156,242.7501009
E01000157,34.83780429
E01000158,14.18495625
E01000159,81.49865166
E01000160,29.67033355
E01000161,321.847945
E01000162,4.884141667
E01000163,8.371506714
E01000164,140.4004672
E01000165,43.59862705
E01000166,549.0281488
E01000167,266.3806216
E01000168,247.7943966
E01000169,101.3526384
E01000170,6.847652118
E01000171,24.42699065
E01000172,108.6233842
E01000173,2.820246739
E01000174,7.484111638
E01000175,728.4660775
E01000176,6.928192357
E01000177,0.378258819
E01000178,318.6742284
E01000179,1.660232227
E01000180,27.39682718
E01000181,285.0536306
E01000182,137.3166451
E01000183,66.18337973
E01000184,30.31472739
E01000185,268.3874351
E01000186,17.94278413
E01000187,63.44504567
E01000188,231.0878972
E01000189,11.28579177
E01000190,41.685545
E01000191,84.97953452
E01000192,19.80447522
E01000193,668.2960339
E01000194,7.582752851
E01000195,9.894412025
E01000196,447.0052571
E01000197,2.073922766
E01000198,92.21673848
E01000199,280.2877202
E01000200,228.4700588
E01000201,43.26003092
E01000202,165.9358133
E01000203,143.6690137
E01000204,54.97242858
E01000205,17.37973106
E01000206,100.1650518
E01000207,111.1136246
E01000208,221.087344
E01000209,38.57013446
E01000210,615.0499486
E01000211,168.878423
E01000212,126.7548708
E01000213,30.36013197
E01000214,383.4865793
E01000215,53.46839115
E01000216,556.21771
E01000217,68.32190655
E01000218,35.14204129
E01000219,232.3233564
E01000220,26.84777122
E01000221,161.6175214
E01000222,260.8671084
E01000223,54.7578812
E01000224,168.3000935
E01000225,95.8976297
E01000226,6.445225738
E01000227,354.0653588
E01000228,31.47564953
E01000229,250.1508742
E01000230,22.74084204
E01000231,447.2278785
E01000232,59.42094014
E01000233,180.8549174
E01000234,61.23646775
E01000235,522.2783374
E01000236,41.73310718
E01000237,128.1408657
E01000238,279.3811179
E01000239,2.41157571
E01000240,120.8258298
E01000241,398.2989727
E01000242,26.78290713
E01000243,505.3164347
E01000244,30.62475481
E01000245,188.1453417
E01000246,90.98560711
E01000247,238.7685458
E01000248,65.24476485
E01000249,80.2946904
E01000250,78.10036858
E01000251,7.246548902
E01000252,97.59291336
E01000253,20.15733283
E01000254,16.19372055
E01000255,189.4369247
E01000256,70.11073168
E01000257,102.3495682
E01000258,42.56843252
E01000259,505.3552332
E01000260,924.4969927
E01000261,243.0478581
E01000262,399.2118643
E01000263,78.91271533
E01000264,101.2968961
E01000265,1800.449739
E01000266,53.89750248
E01000267,5.722667628
E01000268,7.371130526
E01000269,1093.269372
E01000270,77.2001849
E01000271,105.6161557
E01000272,32.62066505
E01000273,1708.812947
E01000274,161.8908998
E01000275,11.5754896
E01000276,133.245883
E01000277,1048.87448
E01000278,86.36650228
E01000279,374.034178
E01000280,190.0907877
E01000281,6.135942027
E01000282,142.8524465
E01000283,157.4075372
E01000284,10.40278547
E01000285,61.47542581
E01000286,1040.541267
E01000287,80.73002867
E01000288,47.76813376
E01000289,63.18461047
E01000290,60.59985761
E01000291,144.5166501
E01000292,37.72411885
E01000293,222.6069445
E01000294,191.3837475
E01000295,124.3688717
E01000296,328.4508472
E01000297,237.9807996
E01000298,2.486793784
E01000299,252.1894087
E01000300,27.32839095
E01000301,289.5551896
E01000302,574.3275652
E01000303,21.24505475
E01000304,28.86720934
E01000305,48.9809255
E01000306,5.853864121
E01000307,172.7878284
E01000308,15.06186241
E01000309,125.1073418
E01000310,424.3725127
E01000311,521.1162849
E01000312,130.8660994
E01000313,2.649609534
E01000314,371.7562908
E01000315,324.5097972
E01000316,554.5874669
E01000317,19.17873569
E01000318,14.88869874
E01000319,129.3597866
E01000320,5.020958366
E01000321,58.82899787
E01000322,628.9109824
E01000323,716.5545502
E01000324,730.1817012
E01000325,20.68984678
E01000326,6.887474655
E01000327,13.03452134
E01000328,6.360891285
E01000329,25.18108281
E01000330,227.6945097
E01000331,546.4831709
E01000332,548.8023273
E01000333,307.4952736
E01000334,20.40364737
E01000335,38.0809685
E01000336,586.3316557
E01000337,1.805310194
E01000338,66.03616846
E01000339,155.3096024
E01000340,34.64568015
E01000341,14.33215756
E01000342,427.7552084
E01000343,182.1116847
E01000344,16.60406375
E01000345,68.56899989
E01000346,730.9357413
E01000347,104.5983868
E01000348,197.37411
E01000349,1.628287129
E01000350,57.6256443
E01000351,543.3808936
E01000352,118.0828564
E01000353,49.83774653
E01000354,0.227450936
E01000355,10.65235692
E01000356,294.0186975
E01000357,24.4087591
E01000358,139.4669922
E01000359,106.373629
E01000360,17.8494285
E01000361,36.44349517
E01000362,260.2162959
E01000363,3.531836639
E01000364,76.8890006
E01000365,26.84072126
E01000366,39.4318862
E01000367,843.8677794
E01000368,1.943259411
E01000369,0.624575346
E01000370,68.33894749
E01000371,5.049362619
E01000372,4.296654057
E01000373,7.044653915
E01000374,107.7830904
E01000375,356.2973941
E01000376,61.68846046
E01000377,107.4888903
E01000378,170.806484
E01000379,212.1706445
E01000380,854.3347275
E01000381,13.93721669
E01000382,139.2786346
E01000383,10.40409147
E01000384,308.1008064
E01000385,3.290745435
E01000386,178.8378631
E01000387,2.115226931
E01000388,138.8218173
E01000389,0.57819918
E01000390,180.9083256
E01000391,197.510248
E01000392,323.0732605
E01000393,7.785622095
E01000394,152.6467318
E01000395,103.0222452
E01000396,47.07369447
E01000398,52.34099701
E01000399,153.7002644
E01000400,57.28651591
E01000401,9.438509909
E01000402,132.5564465
E01000403,217.6004995
E01000404,65.14372255
E01000405,157.9961456
E01000406,107.4691179
E01000407,120.5561678
E01000408,43.28893158
E01000409,37.94290684
E01000410,57.22443522
E01000411,129.2509004
E01000412,144.2937339
E01000413,62.67021646
E01000414,114.2155961
E01000415,128.3881243
E01000416,45.74706927
E01000417,251.3139631
E01000418,62.04636189
E01000419,190.3576441
E01000420,207.0236641
E01000421,7.159385886
E01000422,202.7845217
E01000423,132.1387463
E01000424,496.0599647
E01000425,392.5583372
E01000426,203.7070347
E01000427,114.3753327
E01000428,57.53970208
E01000429,168.2623975
E01000430,160.3640542
E01000431,60.75697883
E01000432,17.71783072
E01000433,136.469355
E01000434,71.20708849
E01000435,87.68793934
E01000436,68.99506793
E01000437,788.6478393
E01000438,81.90949954
E01000439,138.5740168
E01000440,1068.391912
E01000441,140.1666877
E01000442,746.0016326
E01000443,856.4899486
E01000444,445.8283157
E01000445,1417.388623
E01000446,705.3996958
E01000447,52.6979459
E01000448,542.1553937
E01000449,46.18466058
E01000450,1028.34605
E01000451,55.42703051
E01000452,454.5842354
E01000453,81.10501586
E01000454,105.9680177
E01000455,78.09595341
E01000456,239.0353149
E01000457,834.895658
E01000458,867.2124373
E01000459,116.2356729
E01000460,35.98195874
E01000461,82.90723539
E01000462,87.5601101
E01000463,6.672251225
E01000464,68.26295078
E01000465,30.80829199
E01000466,81.33890932
E01000467,177.4943775
E01000468,243.7255741
E01000469,13.24957236
E01000470,307.4082923
E01000471,1.57463181
E01000472,9.761372132
E01000473,160.2020941
E01000474,8.02780197
E01000475,109.2222115
E01000476,87.34968728
E01000477,5.411279738
E01000478,119.3279973
E01000479,201.3265103
E01000480,22.34863754
E01000481,657.3076653
E01000482,293.6026721
E01000483,66.52715777
E01000484,199.489832
E01000485,1824.52394
E01000486,1604.442441
E01000487,21.21287833
E01000488,1104.850323
E01000489,540.9202465
E01000490,254.0910818
E01000491,851.1012906
E01000492,245.1199973
E01000493,356.5684136
E01000494,361.9221225
E01000495,269.0985223
E01000497,111.2853936
E01000498,363.9882208
E01000499,344.866356
E01000501,138.9986017
E01000502,793.7376186
