LSOAName,Inside
E01000001,False
E01000002,False
E01000003,False
E01000005,False
E01000006,False
E01000007,False
E01000008,False
E01000009,False
E01000011,False
E01000012,False
E01000013,False
E01000014,False
E01000015,False
E01000016,False
E01000017,False
E01000018,False
E01000019,False
E01000020,False
E01000021,False
E01000022,False
E01000024,False
E01000025,False
E01000027,False
E01000028,False
E01000029,False
E01000030,False
E01000031,False
E01000032,False
E01000033,False
E01000034,False
E01000035,False
E01000036,False
E01000037,False
E01000038,False
E01000039,False
E01000040,False
E01000041,False
E01000042,False
E01000043,False
E01000044,False
E01000045,False
E01000046,False
E01000049,False
E01000050,False
E01000051,False
E01000052,False
E01000053,False
E01000054,False
E01000055,False
E01000056,False
E01000415,False
E01000315,False
E01000316,False
E01000317,False
E01000318,False
E01000319,False
E01000320,False
E01000321,False
E01000322,False
E01000323,False
E01000324,False
E01000325,False
E01000326,False
E01000327,False
E01000328,False
E01000329,False
E01000330,False
E01000331,False
E01000332,False
E01000333,False
E01000334,False
E01000335,False
E01000336,False
E01000337,False
E01000338,False
E01000339,False
E01000340,False
E01000341,False
E01000342,False
E01000343,False
E01000344,False
E01000345,False
E01000346,False
E01000347,False
E01000348,False
E01000349,False
E01000350,False
E01000351,False
E01000352,False
E01000353,False
E01000354,False
E01000355,False
E01000356,False
E01000357,False
E01000358,False
E01000359,False
E01000360,False
E01000361,False
E01000362,False
E01000363,False
E01000163,False
E01000164,False
E01000165,False
E01000166,False
E01000167,False
E01000168,False
E01000169,False
E01000170,False
E01000171,False
E01000172,False
E01000173,False
E01000174,False
E01000175,False
E01000176,False
E01000177,False
E01000178,False
E01000179,False
E01000180,False
E01000181,False
E01000182,False
E01000183,False
E01000184,False
E01000185,False
E01000186,False
E01000187,False
E01000188,False
E01000189,False
E01000190,False
E01000191,False
E01000192,False
E01000193,False
E01000194,False
E01000195,False
E01000196,False
E01000197,False
E01000198,False
E01000199,False
E01000200,False
E01000201,False
E01000202,False
E01000203,False
E01000204,False
E01000205,False
E01000206,False
E01000207,False
E01000208,False
E01000209,False
E01000210,False
E01000211,False
E01000212,False
E01000108,False
E01000110,False
E01000111,False
E01000112,False
E01000113,False
E01000114,False
E01000115,False
E01000116,False
E01000117,False
E01000118,False
E01000119,False
E01000120,False
E01000121,False
E01000122,False
E01000123,False
E01000124,False
E01000126,False
E01000127,False
E01000128,False
E01000129,False
E01000130,False
E01000131,False
E01000132,False
E01000133,False
E01000134,False
E01000135,False
E01000136,False
E01000137,False
E01000138,False
E01000139,False
E01000140,False
E01000141,False
E01000142,False
E01000143,False
E01000144,False
E01000145,False
E01000146,False
E01000147,False
E01000150,False
E01000151,False
E01000152,False
E01000153,False
E01000154,False
E01000156,False
E01000157,False
E01000158,False
E01000159,False
E01000160,False
E01000161,False
E01000162,False
E01000213,False
E01000214,False
E01000215,False
E01000216,False
E01000217,False
E01000218,False
E01000219,False
E01000220,False
E01000221,False
E01000222,False
E01000223,False
E01000224,False
E01000225,False
E01000226,False
E01000227,False
E01000228,False
E01000229,False
E01000230,False
E01000231,False
E01000232,False
E01000233,False
E01000234,False
E01000235,False
E01000236,False
E01000237,False
E01000238,False
E01000239,False
E01000240,False
E01000241,False
E01000242,False
E01000243,False
E01000244,False
E01000245,False
E01000246,False
E01000247,False
E01000248,False
E01000249,False
E01000250,False
E01000251,False
E01000252,False
E01000253,False
E01000254,False
E01000255,False
E01000256,False
E01000257,False
E01000258,False
E01000259,False
E01000260,False
E01000261,False
E01000263,False
E01000364,False
E01000365,False
E01000366,False
E01000314,False
E01000367,False
E01000368,False
E01000369,False
E01000370,False
E01000371,False
E01000372,False
E01000373,False
E01000374,False
E01000375,False
E01000376,False
E01000377,False
E01000379,False
E01000380,False
E01000381,False
E01000382,False
E01000383,False
E01000384,False
E01000385,False
E01000386,False
E01000387,False
E01000388,False
E01000389,False
E01000390,False
E01000391,False
E01000392,False
E01000393,False
E01000394,False
E01000395,False
E01000396,False
E01000398,False
E01000399,False
E01000400,False
E01000401,False
E01000402,False
E01000403,False
E01000404,False
E01000405,False
E01000406,False
E01000407,False
E01000408,False
E01000409,False
E01000410,False
E01000411,False
E01000412,False
E01000413,False
E01000414,False
E01000264,False
E01000265,False
E01000266,False
E01000267,False
E01000268,False
E01000269,False
E01000270,False
E01000271,False
E01000272,False
E01000273,False
E01000274,False
E01000275,False
E01000276,False
E01000277,False
E01000278,False
E01000279,False
E01000280,False
E01000281,False
E01000282,False
E01000283,False
E01000284,False
E01000285,False
E01000286,False
E01000287,False
E01000288,False
E01000289,False
E01000290,False
E01000291,False
E01000292,False
E01000293,False
E01000294,False
E01000295,False
E01000296,False
E01000297,False
E01000298,False
E01000299,False
E01000300,False
E01000301,False
E01000302,False
E01000303,False
E01000304,False
E01000305,False
E01000306,False
E01000307,False
E01000308,False
E01000309,False
E01000310,False
E01000311,False
E01000312,False
E01000313,False
E01000057,False
E01000058,False
E01000059,False
E01000060,False
E01000061,False
E01000062,False
E01000063,False
E01000064,False
E01000065,False
E01000066,False
E01000067,False
E01000068,False
E01000069,False
E01000070,False
E01000071,False
E01000072,False
E01000073,False
E01000074,False
E01000075,False
E01000076,False
E01000077,False
E01000078,False
E01000079,False
E01000080,False
E01000081,False
E01000082,False
E01000083,False
E01000084,False
E01000085,False
E01000086,False
E01000087,False
E01000088,False
E01000089,False
E01000090,False
E01000091,False
E01000093,False
E01000094,False
E01000095,False
E01000096,False
E01000097,False
E01000098,False
E01000099,False
E01000100,False
E01000101,False
E01000102,False
E01000103,False
E01000104,False
E01000105,False
E01000106,False
E01000107,False
E01000520,False
E01000521,False
E01000522,False
E01000523,False
E01000524,False
E01000525,False
E01000518,False
E01000526,False
E01000416,False
E01000527,False
E01000528,False
E01000530,False
E01000531,False
E01000532,False
E01000533,False
E01000534,False
E01000535,False
E01000536,False
E01000538,False
E01000539,False
E01000540,False
E01000541,False
E01000543,False
E01000544,False
E01000545,False
E01000546,False
E01000547,False
E01000548,False
E01000549,False
E01000550,False
E01000551,False
E01000552,False
E01000553,False
E01000554,False
E01000555,False
E01000556,False
E01000557,False
E01000558,False
E01000559,False
E01000560,False
E01000561,False
E01000562,False
E01000563,False
E01000564,False
E01000565,False
E01000566,False
E01000567,False
E01000568,False
E01000569,False
E01000570,False
E01000571,False
E01000781,False
E01000782,False
E01000629,False
E01000630,False
E01000631,False
E01000632,False
E01000633,False
E01000634,False
E01000636,False
E01000637,False
E01000638,False
E01000639,False
E01000640,False
E01000641,False
E01000642,False
E01000643,False
E01000644,False
E01000645,False
E01000646,False
E01000647,False
E01000648,False
E01000649,False
E01000650,False
E01000651,False
E01000652,False
E01000653,False
E01000654,False
E01000655,False
E01000656,False
E01000657,False
E01000658,False
E01000659,False
E01000661,False
E01000662,False
E01000663,False
E01000664,False
E01000665,False
E01000666,False
E01000667,False
E01000668,False
E01000669,False
E01000670,False
E01000671,False
E01000672,False
E01000673,False
E01000674,False
E01000676,False
E01000677,False
E01000678,False
E01000679,False
E01000519,False
E01000418,False
E01000419,False
E01000420,False
E01000421,False
E01000422,False
E01000423,False
E01000424,False
E01000425,False
E01000426,False
E01000427,False
E01000428,False
E01000429,False
E01000430,False
E01000431,False
E01000433,False
E01000434,False
E01000435,False
E01000436,False
E01000437,False
E01000438,False
E01000439,False
E01000440,False
E01000441,False
