LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs)
E01000001,City of London 001A,E09000001,City of London,6.208,29199,9,0.007,32831,10,0.01,32742,10,0.024,32842,10,-1.654,32113,10,-2.012,32662,10,29.472,7319,3,31.873,7789,3,-2.107,32777,10,0.032,32843,10,-0.43,22985,7,3.587,3216,1,0.006,16364,5,1.503,1615,1
E01000002,City of London 001B,E09000001,City of London,5.143,30379,10,0.034,29901,10,0.027,31190,10,0.063,32832,10,-1.115,29705,10,-2.343,32789,10,24.412,11707,4,23.084,13070,4,-1.907,32666,10,0.034,32841,10,-1.06,30223,10,3.231,3894,2,-0.41,22676,7,1.196,2969,1
E01000003,City of London 001C,E09000001,City of London,19.402,14915,5,0.086,18510,6,0.086,15103,5,5.804,26386,9,-0.102,17600,6,-1.032,29363,9,40.103,2157,1,40.535,4092,2,-0.292,20837,7,0.142,30999,10,-0.691,26719,9,5.173,818,1,-0.054,17318,6,2.207,162,1
E01000005,City of London 001E,E09000001,City of London,28.652,8678,3,0.211,6029,2,0.136,7833,3,22.26,12370,4,-0.121,17907,6,-1.317,31059,10,39.9,2217,1,28.979,9397,3,0.338,10914,4,0.321,13658,5,-1.167,30865,10,5.361,672,1,-0.604,25218,8,1.769,849,1
E01032739,City of London 001F,E09000001,City of London,13.584,20391,7,0.014,32638,10,0.011,32727,10,1.771,31135,10,-0.676,25654,8,-1.56,31947,10,46.314,837,1,49.165,2040,1,-0.852,28112,9,0.045,32826,10,0.571,7153,3,4.153,2173,1,0.674,7046,3,1.85,652,1
E01032740,City of London 001G,E09000001,City of London,15.841,18089,6,0.024,31774,10,0.035,29443,9,2.259,30578,10,-0.355,21520,7,-1.701,32292,10,37.427,3054,1,68.585,130,1,-0.739,26951,9,0.051,32795,10,-0.535,24587,8,4.769,1279,1,1.224,2306,1,2.151,212,1
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,19.837,14486,5,0.117,14023,5,0.059,21692,7,14.798,17511,6,-0.359,21581,7,-0.147,18848,6,45.171,1033,1,26.888,10629,4,-0.366,21932,7,0.325,13244,5,-0.4,22527,7,5.59,520,1,0.11,14745,5,0.969,4368,2
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,31.576,7256,3,0.207,6261,2,0.107,11487,4,11.385,20536,7,-0.027,16414,5,0.846,4925,2,50.42,274,1,25.995,11162,4,-0.133,18304,6,0.251,21531,7,-0.951,29432,9,6.897,33,1,-0.28,20820,7,1.324,2319,1
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,37.596,5010,2,0.265,3382,2,0.151,6431,2,25.506,10569,4,0.25,12334,4,0.353,11113,4,45.413,981,1,30.233,8672,3,0.129,14007,5,0.384,7918,3,-0.498,24033,8,5.736,443,1,-0.587,25009,8,1.84,674,1
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,32.844,6736,3,0.187,7506,3,0.109,11132,4,15.713,16819,6,0.454,9661,3,0.895,4431,2,48.119,554,1,28.601,9611,3,0.101,14445,5,0.277,18554,6,-1.424,31919,10,6.643,92,1,-0.107,18146,6,1.37,2131,1
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,32.437,6900,3,0.169,8902,3,0.073,17988,6,11.762,20182,7,-0.002,16050,5,1.214,2164,1,50.58,259,1,47.932,2269,1,0.022,15696,5,0.228,24261,8,-1.162,30844,10,7.211,6,1,0.931,4411,2,1.271,2600,1
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,30.679,7698,3,0.167,9033,3,0.081,16108,5,22.519,12224,4,-0.137,18178,6,0.526,8727,3,52.948,110,1,39.857,4309,2,0.273,11826,4,0.334,12319,4,-0.337,21499,7,6.689,76,1,0.652,7302,3,1.195,2975,1
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,34.714,5990,2,0.239,4570,2,0.096,13201,5,19.774,13896,5,-0.056,16887,6,0.542,8515,3,56.507,39,1,36.881,5437,2,0.378,10384,4,0.283,17915,6,-0.12,17789,6,6.974,17,1,0.433,10072,4,1.331,2291,1
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,38.997,4573,2,0.213,5966,2,0.145,7013,3,24.003,11346,4,0.67,7172,3,1.199,2236,1,45.252,1018,1,30.424,8569,3,-0.257,20313,7,0.41,6191,2,-0.733,27232,9,5.916,353,1,0.345,11278,4,0.931,4652,2
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,35.67,5650,2,0.201,6627,3,0.135,7932,3,31.501,7994,3,0.35,10972,4,0.825,5163,2,46.135,872,1,25.122,11704,4,0.142,13822,5,0.438,4591,2,-0.465,23504,8,5.82,408,1,-0.041,17101,6,1.004,4096,2
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,33.632,6405,2,0.216,5755,2,0.123,9271,3,26.013,10318,4,0.025,15626,5,0.372,10845,4,50.4,278,1,25.696,11351,4,0.11,14299,5,0.391,7399,3,-0.591,25404,8,6.581,106,1,0.196,13355,5,0.715,6362,2
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,32.839,6739,3,0.199,6711,3,0.122,9461,3,28.996,8971,3,0.373,10676,4,0.528,8699,3,43.772,1273,1,24.95,11815,4,-0.18,19091,6,0.448,4128,2,-0.7,26817,9,5.68,474,1,0.103,14857,5,0.799,5657,2
