ward,dow,slot,officers_alloc,hours_alloc,benefit
Abbey,2,6,100,200,0.3295333148591611
Abbey,4,6,100,200,0.2783989045274056
Abbey,3,6,100,200,0.2386281309161688
Abbey,0,6,100,200,0.21590179737500237
Abbey Road,0,6,100,200,0.40080493293454356
Abbey Road,5,6,100,200,0.38258715024404977
Abbey Road,4,6,100,200,0.37347731280661084
Abbey Road,3,6,100,200,0.35525952834915075
Abbey Wood,5,6,100,200,0.42083090808166174
Abbey Wood,2,6,100,200,0.3700408399614733
Abbey Wood,3,6,100,200,0.2539500710853967
Abbey Wood,0,6,100,200,0.24669365514302122
Abingdon,4,6,100,200,0.20798898179317146
Abingdon,6,6,100,200,0.1723340916099586
Abingdon,2,6,100,200,0.1545065603669154
Abingdon,1,6,100,200,0.15450634011729505
Addiscombe East,4,6,100,200,0.5684298187035238
Addiscombe East,2,6,100,200,0.3833594083506073
Addiscombe East,3,6,100,200,0.343701706646331
Addiscombe East,1,6,100,200,0.3040442458584357
Addiscombe West,6,6,100,200,0.1855083361388909
Addiscombe West,2,6,100,200,0.17480639705905607
Addiscombe West,4,6,100,200,0.14983348751838826
Addiscombe West,5,6,100,200,0.14626680675686538
Addison,4,6,100,200,0.45478534765605294
Addison,0,6,100,200,0.31582326794463994
Addison,6,6,100,200,0.315823130233295
Addison,5,6,100,200,0.26529202122515394
Aldborough,2,6,100,200,0.31067318702663765
Aldborough,0,6,100,200,0.2588947223440765
Aldborough,1,6,100,200,0.24163494788456263
Aldborough,3,6,100,200,0.23300569696291576
Alexandra Park,2,6,100,200,0.0835173895849587
Alexandra Park,0,6,100,200,0.07625542560238219
Alexandra Park,6,6,100,200,0.07625519202533426
Alexandra Park,1,6,100,200,0.076254812764554
Alperton,2,6,100,200,0.41996026632436817
Alperton,6,6,100,200,0.2771734992720195
Alperton,5,6,100,200,0.2687749766035579
Alperton,4,6,100,200,0.2183791145760377
Arnos Grove,2,6,100,200,0.49617815736815885
Arnos Grove,4,6,100,200,0.47362396305976895
Arnos Grove,6,6,100,200,0.4397941533029916
Arnos Grove,0,6,100,200,0.42851749236962833
Arsenal,2,6,100,200,0.2164900456691321
Arsenal,6,6,100,200,0.20489207752675964
Arsenal,4,6,100,200,0.13917180372255827
Arsenal,5,6,100,200,0.12370834277802978
Avonmore,4,6,100,200,0.46986733341321923
Avonmore,2,6,100,200,0.41565183222901064
Avonmore,0,6,100,200,0.3614364590176535
Avonmore,3,6,100,200,0.36143628864864347
Balham,5,6,100,200,0.4888427462158135
Balham,4,6,100,200,0.4744649001449541
Balham,0,6,100,200,0.4600873696119134
Balham,3,6,100,200,0.45289828201573196
Barking Riverside,0,6,100,200,0.21743003189018947
Barking Riverside,4,6,100,200,0.2174297063724936
Barking Riverside,2,6,100,200,0.21063451146224604
Barking Riverside,3,6,100,200,0.1970458706406927
Barkingside,4,6,100,200,0.09414133348656022
Barkingside,3,6,100,200,0.09100411408546775
Barkingside,0,6,100,200,0.08786585068320134
Barkingside,6,6,100,200,0.07217546051278104
Barnes,2,6,100,200,0.18397901067440972
Barnes,6,6,100,200,0.17429668978922522
Barnes,1,6,100,200,0.16945524091598244
Barnes,0,6,100,200,0.15977138388769718
Barnet Vale,2,6,100,200,0.381462187659696
Barnet Vale,6,6,100,200,0.3571130169420365
Barnet Vale,4,6,100,200,0.3408807362056165
Barnet Vale,3,6,100,200,0.28406756163088964
Barnhill,2,6,100,200,0.4486776892378449
Barnhill,4,6,100,200,0.3907839020000287
Barnhill,0,6,100,200,0.3039429822900065
Barnhill,5,6,100,200,0.2749964625011151
Barnsbury,4,6,100,200,0.34211639058878274
Barnsbury,3,6,100,200,0.3117057348251723
Barnsbury,0,6,100,200,0.25848754382516176
Barnsbury,1,6,100,200,0.25088522686664994
Battersea Park,2,6,100,200,0.3053841776655175
Battersea Park,3,6,100,200,0.22685733611450182
Battersea Park,6,6,100,200,0.21813198646711765
Battersea Park,0,6,100,200,0.20504358266782438
Bayswater,5,6,100,200,1.1279531222392292
Bayswater,6,6,100,200,0.9843950821369711
Bayswater,4,6,100,200,0.9023620241100193
Bayswater,2,6,100,200,0.8921081489537003
Beam,4,6,100,200,0.35998363598479466
Beam,1,6,100,200,0.3262349094415853
Beam,6,6,100,200,0.2924871171719998
Beam,5,6,100,200,0.23623937377574078
Beam Park,2,6,100,200,0.49759872133994404
Beam Park,3,6,100,200,0.46916414473281765
Beam Park,1,6,100,200,0.426513513104985
Beam Park,4,6,100,200,0.36964479428188857
Beckenham Town & Copers Cope,2,6,100,200,0.7735900070696761
Beckenham Town & Copers Cope,4,6,100,200,0.6268745077595592
Beckenham Town & Copers Cope,6,6,100,200,0.5735239204667855
Beckenham Town & Copers Cope,5,6,100,200,0.5601865653532669
Beddington,3,6,100,200,0.27233802570650045
Beddington,4,6,100,200,0.27233750551606606
Beddington,0,6,100,200,0.23965742202820617
Beddington,2,6,100,200,0.21787079895075168
Bedfont,4,6,100,200,0.3093533658985569
Bedfont,6,6,100,200,0.30935330328009425
Bedfont,0,6,100,200,0.25236700308774923
Bedfont,5,6,100,200,0.23608520881566444
Bellingham,2,6,100,200,0.12175154370761776
Bellingham,3,6,100,200,0.07034487099146752
Bellingham,1,6,100,200,0.07034480172140357
Bellingham,6,6,100,200,0.06493366132589651
Belmont,4,6,100,200,0.3750225544338745
Belmont,5,6,100,200,0.31668603590148636
Belmont,1,6,100,200,0.30001762089896333
Belmont,6,6,100,200,0.2916836892625276
Belmore,4,6,100,200,0.39574430997902094
Belmore,6,6,100,200,0.34748251545458786
Belmore,5,6,100,200,0.2895687914675781
Belmore,0,6,100,200,0.2606121802808389
Belsize,6,6,100,200,0.6111726177410897
Belsize,4,6,100,200,0.5398698433447096
Belsize,3,6,100,200,0.5398690363972772
Belsize,2,6,100,200,0.5194971648150201
Belvedere,3,6,100,200,0.2839907454592274
Belvedere,0,6,100,200,0.2765172489089238
Belvedere,2,6,100,200,0.25409702866875733
Belvedere,5,6,100,200,0.2316771877674589
Bensham Manor,6,6,100,200,0.36649498951678416
